iter	Passed	Remaining
0	0	294
1	1	278
2	3	300
3	3	287
4	5	302
5	6	302
6	7	295
7	8	299
8	9	306
9	10	310
10	11	310
11	13	325
12	14	325
13	15	324
14	17	326
15	18	326
16	19	327
17	20	327
18	22	327
19	23	328
20	24	329
21	27	349
22	28	346
23	30	345
24	31	345
25	32	341
26	33	339
27	34	337
28	36	336
29	37	335
30	41	357
31	42	356
32	43	354
33	45	353
34	46	350
35	47	348
36	48	346
37	49	343
38	51	341
39	53	348
40	54	346
41	56	345
42	57	343
43	58	341
44	59	339
45	61	336
46	62	335
47	63	333
48	64	331
49	66	330
50	67	328
51	68	326
52	69	325
53	71	324
54	72	323
55	74	322
56	75	321
57	76	318
58	77	315
59	78	313
60	79	310
61	80	307
62	81	305
63	82	304
64	83	303
65	85	302
66	86	300
67	88	300
68	89	299
69	90	297
70	91	296
71	92	294
72	93	292
73	95	290
74	98	295
75	99	293
76	100	292
77	102	290
78	103	289
79	106	293
80	108	292
81	109	290
82	110	289
83	111	287
84	112	285
85	116	289
86	117	288
87	119	288
88	121	287
89	122	286
90	123	284
91	124	282
92	125	280
93	126	278
94	128	276
95	129	274
96	130	273
97	132	272
98	133	271
99	135	270
100	136	268
101	137	266
102	138	264
103	139	262
104	140	261
105	141	259
106	142	257
107	147	262
108	149	261
109	150	259
110	151	257
111	152	256
112	153	254
113	154	252
114	156	251
115	157	249
116	158	248
117	159	246
118	161	244
119	162	243
120	163	241
121	164	239
122	165	238
123	166	236
124	167	234
125	168	233
126	169	231
127	171	230
128	172	228
129	173	226
130	174	225
131	175	223
132	178	224
133	180	223
134	181	221
135	182	220
136	183	218
137	185	217
138	186	215
139	187	214
140	188	212
141	189	210
142	190	209
143	192	208
144	193	206
145	194	205
146	195	203
147	196	202
148	197	200
149	199	199
150	200	197
151	201	196
152	202	194
153	203	193
154	205	191
155	206	190
156	207	189
157	211	189
158	212	188
159	213	186
160	214	185
161	215	183
162	216	182
163	217	180
164	218	179
165	220	177
166	221	176
167	222	174
168	223	173
169	225	172
170	226	170
171	227	169
172	228	167
173	229	166
174	230	164
175	231	163
176	232	161
177	233	160
178	235	158
179	236	157
180	237	156
181	238	154
182	241	154
183	242	152
184	243	151
185	244	149
186	245	148
187	246	146
188	247	145
189	248	143
190	251	143
191	253	142
192	254	141
193	255	139
194	257	138
195	258	137
196	259	135
197	260	134
198	261	132
199	263	131
200	264	130
201	265	128
202	266	127
203	268	126
204	269	125
205	271	123
206	272	122
207	273	120
208	274	119
209	275	118
210	277	116
211	278	115
212	279	114
213	280	112
214	281	111
215	283	110
216	284	108
217	288	108
218	289	107
219	290	105
220	291	104
221	293	102
222	294	101
223	295	100
224	296	98
225	298	97
226	299	96
227	300	94
228	301	93
229	302	92
230	304	90
231	305	89
232	306	88
233	307	86
234	310	85
235	311	84
236	314	83
237	316	82
238	319	81
239	321	80
240	325	79
241	327	78
242	333	78
243	334	76
244	335	75
245	336	73
246	338	72
247	339	71
248	340	69
249	342	68
250	343	67
251	344	65
252	346	64
253	348	63
254	350	61
255	351	60
256	352	58
257	353	57
258	354	56
259	355	54
260	356	53
261	357	51
262	358	50
263	359	49
264	361	47
265	362	46
266	368	45
267	369	44
268	370	42
269	371	41
270	372	39
271	373	38
272	374	37
273	375	35
274	376	34
275	378	32
276	379	31
277	381	30
278	382	28
279	383	27
280	384	26
281	386	24
282	387	23
283	388	21
284	389	20
285	390	19
286	391	17
287	392	16
288	394	14
289	395	13
290	396	12
291	397	10
292	398	9
293	399	8
294	400	6
295	401	5
296	402	4
297	403	2
298	404	1
299	406	0
